con,eye,pwr,spd,batter_label,pitcher,p_hand,p_mov,p_cmd,p_vel,p_awr,HR,3B,2B,1B,IF1B,BB,FO,PO,GO,K,BB_pct,1B_pct,2B_pct,3B_pct,HR_pct,H_pct,AVG,OBP,SLG,OPS,xRV,steal_bonus,xRV_steal
1,1,5,5,1-1-5-5,Bucky Gorgonzola,L,2,3,5,2,20,9,36,77,14,23,48,23,134,117,0.0459,0.1816,0.0719,0.018,0.0399,0.3114,0.3264,0.3573,0.5649,0.9221,-0.0052,0.0,-0.0052
1,1,5,5,1-1-5-5,Captain Trash,L,4,1,2,5,32,6,30,52,10,35,43,13,135,145,0.0699,0.1238,0.0599,0.012,0.0639,0.2595,0.279,0.3293,0.5751,0.9044,-0.0124,0.0,-0.0124
1,1,5,5,1-1-5-5,Dirk Digglet,R,5,4,2,1,31,10,39,31,17,13,46,14,144,156,0.0259,0.0958,0.0778,0.02,0.0619,0.2555,0.2623,0.2814,0.5738,0.8552,-0.0338,0.0,-0.0338
1,1,5,5,1-1-5-5,Lightning Volt,R,4,1,4,3,21,7,32,59,11,34,49,20,130,138,0.0679,0.1397,0.0639,0.014,0.0419,0.2595,0.2784,0.3273,0.5118,0.8391,-0.0262,0.0,-0.0262
1,1,5,5,1-1-5-5,Sterling Turlington,R,4,4,2,2,31,8,35,46,13,13,45,14,158,138,0.0259,0.1178,0.0699,0.016,0.0619,0.2655,0.2725,0.2914,0.5676,0.859,-0.032,0.0,-0.032
1,1,5,5,1-1-5-5,Daz Reference,R,4,3,2,3,31,7,32,49,11,22,44,13,154,138,0.0439,0.1198,0.0639,0.014,0.0619,0.2595,0.2714,0.3034,0.5616,0.865,-0.0273,0.0,-0.0273
1,1,5,5,1-1-5-5,Dilwyn Silversheen,L,5,3,3,1,24,11,41,40,18,23,47,17,116,164,0.0459,0.1158,0.0818,0.022,0.0479,0.2675,0.2803,0.3134,0.5628,0.8761,-0.0217,0.0,-0.0217
1,1,5,5,1-1-5-5,Clifton McCullough,L,4,4,1,3,48,8,33,35,12,14,40,10,156,145,0.0279,0.0938,0.0659,0.016,0.0958,0.2715,0.2793,0.2994,0.6756,0.975,-0.0054,0.0,-0.0054
1,1,5,5,1-1-5-5,Sheridan Blackstone,R,4,4,2,2,31,8,35,46,13,13,45,14,158,138,0.0259,0.1178,0.0699,0.016,0.0619,0.2655,0.2725,0.2914,0.5676,0.859,-0.032,0.0,-0.032
1,1,5,5,1-1-5-5,Talon Wingdiver,R,4,2,5,1,19,10,39,54,17,29,49,23,123,138,0.0579,0.1417,0.0778,0.02,0.0379,0.2774,0.2945,0.3353,0.5403,0.8756,-0.0172,0.0,-0.0172
1,1,5,5,1-1-5-5,Chunky Menthol,L,3,4,1,4,48,7,31,45,11,14,39,10,166,130,0.0279,0.1118,0.0619,0.014,0.0958,0.2834,0.2916,0.3114,0.6797,0.991,-0.0003,0.0,-0.0003
1,1,5,5,1-1-5-5,Doc Dockerson,R,4,3,3,2,23,8,35,54,13,22,48,17,143,138,0.0439,0.1337,0.0699,0.016,0.0459,0.2655,0.2777,0.3094,0.5282,0.8376,-0.0318,0.0,-0.0318
1,1,5,5,1-1-5-5,Ryan Sir-Wondery,L,4,2,4,2,22,9,36,58,14,30,48,20,119,145,0.0599,0.1437,0.0719,0.018,0.0439,0.2774,0.2951,0.3373,0.5499,0.8872,-0.0146,0.0,-0.0146
1,1,5,5,1-1-5-5,Alexander Duquense,R,2,4,5,1,19,10,39,69,17,13,49,24,149,112,0.0259,0.1717,0.0778,0.02,0.0379,0.3074,0.3156,0.3333,0.5533,0.8866,-0.0184,0.0,-0.0184
1,1,5,5,1-1-5-5,Annabelle TheGlorious,R,4,4,3,1,23,10,39,50,17,13,48,17,146,138,0.0259,0.1337,0.0778,0.02,0.0459,0.2774,0.2848,0.3034,0.5471,0.8505,-0.0312,0.0,-0.0312
1,1,5,5,1-1-5-5,Ant Man,R,3,3,5,1,19,10,39,63,17,22,49,23,136,123,0.0439,0.1597,0.0778,0.02,0.0379,0.2954,0.309,0.3393,0.5511,0.8905,-0.0148,0.0,-0.0148
1,1,5,5,1-1-5-5,Fabian Seacaster,L,4,4,2,2,32,9,36,48,14,14,44,14,145,145,0.0279,0.1238,0.0719,0.018,0.0639,0.2774,0.2854,0.3054,0.5934,0.8988,-0.0206,0.0,-0.0206
1,1,5,5,1-1-5-5,Hubert Dubois,R,2,4,5,1,19,10,39,69,17,13,49,24,149,112,0.0259,0.1717,0.0778,0.02,0.0379,0.3074,0.3156,0.3333,0.5533,0.8866,-0.0184,0.0,-0.0184
1,1,5,5,1-1-5-5,Angel Leon,L,5,3,3,1,24,11,41,40,18,23,47,17,116,164,0.0459,0.1158,0.0818,0.022,0.0479,0.2675,0.2803,0.3134,0.5628,0.8761,-0.0217,0.0,-0.0217
1,1,5,5,1-1-5-5,Jacob BallHitter,R,4,4,3,1,23,10,39,50,17,13,48,17,146,138,0.0259,0.1337,0.0778,0.02,0.0459,0.2774,0.2848,0.3034,0.5471,0.8505,-0.0312,0.0,-0.0312
