result,spray_bucket,station_idx,q,la_topped,ev_topped,dist_topped,la_uppercut,ev_uppercut,dist_uppercut
GO,,0,0.0,-57.0,48.5,2.0,-29.0,86.7,2.0
GO,,1,0.01,-57.0,48.5,2.0,-29.0,86.7,2.0
GO,,2,0.02,-57.0,87.0,2.0,-29.0,78.5,2.0
GO,,3,0.03,-57.0,87.8,2.0,-29.0,99.1,2.0
GO,,4,0.04,-57.0,71.0,2.0,-29.0,84.0,2.0
GO,,5,0.05,-57.0,68.7,2.0,-29.0,67.8,2.0
GO,,6,0.06,-56.0,37.6,2.0,-26.0,90.4,3.0
GO,,7,0.07,-55.0,76.7,2.0,-24.0,74.6,3.0
GO,,8,0.08,-50.0,77.0,3.0,-22.0,97.1,3.0
GO,,9,0.09,-46.0,71.5,3.0,-22.0,55.6,3.0
GO,,10,0.1,-46.0,35.5,3.0,-22.0,70.5,3.0
GO,,11,0.11,-45.0,64.0,3.0,-22.0,54.4,3.0
GO,,12,0.12,-45.0,75.8,3.0,-22.0,100.4,3.0
GO,,13,0.13,-44.0,79.5,3.0,-23.0,82.7,3.0
GO,,14,0.14,-43.0,86.7,3.0,-21.0,91.9,3.0
GO,,15,0.15,-41.0,77.7,3.0,-20.0,100.3,4.0
GO,,16,0.16,-37.0,82.6,3.0,-19.0,72.6,4.0
GO,,17,0.17,-35.0,84.8,4.0,-19.0,66.3,4.0
GO,,18,0.18,-35.0,91.6,4.0,-19.0,98.8,4.0
GO,,19,0.19,-35.0,44.1,4.0,-20.0,106.9,4.0
GO,,20,0.2,-35.0,62.7,4.0,-20.0,99.8,4.0
GO,,21,0.21,-35.0,82.6,4.0,-19.0,76.1,4.0
GO,,22,0.22,-33.0,57.7,4.0,-18.0,108.6,4.0
GO,,23,0.23,-31.0,92.1,4.0,-18.0,85.5,5.0
GO,,24,0.24,-29.0,93.6,5.0,-17.0,94.0,5.0
GO,,25,0.25,-29.0,83.6,5.0,-17.0,83.7,5.0
GO,,26,0.26,-29.0,81.8,5.0,-17.0,80.2,5.0
GO,,27,0.27,-28.0,90.2,5.0,-17.0,92.3,5.0
GO,,28,0.28,-28.0,91.2,5.0,-17.0,108.5,5.0
GO,,29,0.29,-26.0,94.0,6.0,-16.0,109.3,5.0
GO,,30,0.3,-25.0,79.5,6.0,-16.0,79.8,6.0
GO,,31,0.31,-24.0,101.6,6.0,-15.0,98.6,6.0
GO,,32,0.32,-24.0,76.7,6.0,-15.0,96.7,6.0
GO,,33,0.33,-24.0,89.5,6.0,-15.0,98.6,6.0
GO,,34,0.34,-23.0,68.6,6.0,-15.0,68.1,6.0
GO,,35,0.35,-22.0,99.7,6.0,-14.0,96.3,7.0
GO,,36,0.36,-21.0,94.0,6.0,-14.0,83.6,7.0
GO,,37,0.37,-21.0,71.8,7.0,-14.0,74.2,7.0
GO,,38,0.38,-21.0,87.7,7.0,-14.0,84.2,7.0
GO,,39,0.39,-20.0,107.5,7.0,-14.0,82.0,7.0
GO,,40,0.4,-20.0,94.3,8.0,-13.0,71.7,8.0
GO,,41,0.41,-19.0,85.7,8.0,-13.0,77.2,8.0
GO,,42,0.42,-18.0,88.9,8.0,-12.0,93.8,8.0
