season,session,game_code,game_id,play_num,off_team,def_team,inning,half,outs,obc,result,play_code,category,batter_name,pitcher_name,diff
1,02,010201,7,10201004,Aruba Sea Serpents,Humongous Melonheads,1,top,0,011,DP,0_4_DP,batted_ball_gap,William Wallace,Hudson Hildebrandt,469
1,02,010203,9,10203006,Miami Fuego,Kansas City Kitties,1,bottom,0,011,DP,0_4_DP,batted_ball_gap,Basebally McBaseballface Jr.,S.A.R Dinka,278
1,02,010204,10,10204031,R'Lyeh Ancients,Gas House Gorillas,4,bottom,0,011,DP,0_4_DP,batted_ball_gap,Schluffer Dingus,Bartholomew Crumblepuff,439
1,02,010206,12,10206022,Acadia Peregrines,Baldur's Gate Beholders,3,top,0,011,DP,0_4_DP,batted_ball_gap,Jefferson Steelflex,Superbone Threefinger,425
1,03,010302,14,10302013,Miami Fuego,Humongous Melonheads,2,top,0,011,DP,0_4_DP,batted_ball_gap,KC Bats,Ricky Vaughn,435
1,03,010303,15,10303015,Carolina Reapers,Aruba Sea Serpents,2,bottom,0,011,DP,0_4_DP,batted_ball_gap,Austin Schwartz,Ronald Eagle V,416
1,04,010402,20,10402027,Miami Fuego,Carolina Reapers,3,bottom,0,011,DP,0_4_DP,batted_ball_gap,Donked McToad,Artie Ziff,466
1,05,010504,28,10504003,Acadia Peregrines,R'Lyeh Ancients,1,top,0,011,DP,0_4_DP,batted_ball_gap,Jefferson Steelflex,Boaty McBoatface,450
1,07,010704,40,10704019,Sopher McDophers,R'Lyeh Ancients,2,bottom,0,011,DP,0_4_DP,batted_ball_gap,Chris Robin,Teddy Ballinger,383
1,09,010903,51,10903033,Aruba Sea Serpents,Humongous Melonheads,4,bottom,0,011,DP,0_4_DP,batted_ball_gap,Finkle Sparkles,Hudson Hildebrandt,429
1,11,011106,66,11106014,Baldur's Gate Beholders,Gas House Gorillas,2,bottom,0,011,DP,0_4_DP,batted_ball_gap,Duke McCracken,Geno Scaramucci,470
1,12,011205,71,11205047,Gas House Gorillas,Halifax Highlanders,5,bottom,0,011,DP,0_4_DP,batted_ball_gap,Ryan Gastings,Jimmy Johns,455
1,13,011302,74,11302015,Sunnydale Slayers,R'Lyeh Ancients,2,top,0,011,DP,0_4_DP,batted_ball_gap,Lefty Louis,Pete Jones,494
2,02,020201,83,20201026,Sopher McDophers,Miami Fuego,3,bottom,0,011,DP,0_4_DP,batted_ball_gap,Kaylee Stewart,Ronald Eagle V,460
2,03,020301,90,20301040,Reykjavik Valkyries,Miami Fuego,6,top,0,011,DP,0_4_DP,batted_ball_gap,Xavier Phoenix,Tony Smehrik,391
2,03,020302,91,20302007,Humongous Melonheads,Carolina Reapers,1,bottom,0,011,DP,0_4_DP,batted_ball_gap,Garrett Evans,Teddy Ballinger,429
2,04,020407,103,20407040,Acadia Peregrines,Halifax Highlanders,5,bottom,0,011,DP,0_4_DP,batted_ball_gap,Jhahn Tahmus,Art Vandelay,393
2,05,020507,110,20507047,Halifax Highlanders,Portland Pioneers,6,bottom,0,011,DP,0_4_DP,batted_ball_gap,Bud Tuggli,Gus Buster,409
2,06,020602,112,20602008,Sopher McDophers,Carolina Reapers,1,bottom,0,011,DP,0_4_DP,batted_ball_gap,Lance Lummoxx,Teddy Ballinger,437
2,06,020602,112,20602033,Carolina Reapers,Sopher McDophers,4,top,0,011,DP,0_4_DP,batted_ball_gap,Bo-Horse Jackman,William Hatchet,467
2,06,020606,116,20606012,Acadia Peregrines,Baldur's Gate Beholders,2,top,0,011,DP,0_4_DP,batted_ball_gap,Sleve McDichael,Billy Winters,425
2,06,020607,117,20607056,Gas House Gorillas,Halifax Highlanders,7,bottom,0,011,DP,0_4_DP,batted_ball_gap,Conor Sexton,Yolanda Martinez,402
2,07,020701,118,20701021,Carolina Reapers,Miami Fuego,3,top,0,011,DP,0_4_DP,batted_ball_gap,Jim Boeheim,Ronald Eagle V,469
2,07,020701,118,20701036,Miami Fuego,Carolina Reapers,4,bottom,0,011,DP,0_4_DP,batted_ball_gap,Pennis Brinner,Artie Ziff,490
2,07,020704,121,20704014,Kansas City Kitties,Baldur's Gate Beholders,2,top,0,011,DP,0_4_DP,batted_ball_gap,Clipper Charge,Superbone Threefinger,493
2,08,020804,128,20804032,Humongous Melonheads,Halifax Highlanders,5,top,0,011,DP,0_4_DP,batted_ball_gap,Garrett Evans,Cal Lidous,421
2,08,020807,131,20807037,Reykjavik Valkyries,R'Lyeh Ancients,5,top,0,011,DP,0_4_DP,batted_ball_gap,Demetrios Ooga,Q Kimbrel,482
2,11,021101,146,21101009,Sunnydale Slayers,Miami Fuego,1,bottom,0,011,DP,0_4_DP,batted_ball_gap,Larry Longshot,Ed Turner,371
2,13,021302,161,21302009,R'Lyeh Ancients,Carolina Reapers,1,bottom,0,011,DP,0_4_DP,batted_ball_gap,Kiger Wulf,Artie Ziff,417
2,14,021405,171,21405018,Gas House Gorillas,Sunnydale Slayers,2,bottom,0,011,DP,0_4_DP,batted_ball_gap,Ornn Mistborn,Acey McCman,404
