player,player_handle,season_from,season_to,team_from,team_from_name,team_to,team_to_name,has_transaction,player_match_score,txn_player_matched,txn_date,txn_type,txn_team_raw,txn_team_abbrev,team_abbrev_match,txn_raw,near_miss_player,near_miss_score,near_miss_date,near_miss_raw
Ace Brickman,,11,12,MIA,Miami Fuego,RC,Raccoon City Outbreak,Y,1.0,RF Ace Brickman,2025-08-02,sign,Raccoon City Outbreak,RC,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Adam Croft,"adam croft, washed p",2,3,SUN,Sunnydale Slayers,GRZ,Ursa Major Grizzlies,N,0.435,Kal,2018-12-02,draft,Vancouver Vampires,,N,"With the nineteenth pick in the Season 2 Draft, the Vancouver Vampires select @Kal",Kal,0.435,2018-12-02,"With the nineteenth pick in the Season 2 Draft, the Vancouver Vampires select @Kal"
AJ Preller,,1,2,KYM,Kentucky Mashers,BFB,Blubs Bay Flappy Bois,N,0.435,librarylass,2018-12-02,draft,Henrik Omegas,,N,"With the twenty seventh pick in the Season 2 Draft, the Henrik Omegas select @librarylass",librarylass,0.435,2018-12-02,"With the twenty seventh pick in the Season 2 Draft, the Henrik Omegas select @librarylass"
AJ Wolfe,,11,12,CAR,Carolina Reapers,SUN,Sunnydale Slayers,Y,1.0,AJ Wolfe,2024-10-06,draft,Carolina Reapers,CAR,N,":CAR: With the first overall pick in the S11 MLN Draft, the *Carolina Reapers* select P **AJ Wolfe**",,,,
Alex Yaxley,alex “big champion” yaxley 💍,11,12,CAR,Carolina Reapers,SMD,Sopher McDophers,Y,0.815,C/COF Alex Yaxley,2025-08-02,sign,Sopher McDophers,SMD,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Alexandra Shepard,,6,7,JAM,JAM,ACP,Acadia Peregrines,Y,1.0,Alexandra Shepard,2022-01-22,draft,Peregrines Acadia Peregrines,ACP,Y,"With the 12th overall pick in the S7 Draft, the :Peregrines: Acadia Peregrines select **3B Alexandra Shepard**",,,,
Alexandra Shepard,,7,8,ACP,Acadia Peregrines,HMH,Humongous Melonheads,Y,1.0,3B Alexandra Shepard,2022-08-29,sign,Humongous Melonheads,HMH,Y,:Melonheads: Humongous Melonheads sign 3B **Alexandra Shepard**,,,,
Andrew Nova,andrewsc,5,6,KYM,Kentucky Mashers,POR,Portland Pioneers,N,0.6,Stride,2021-04-28,draft,Vatican City,,N,":vaticancity: With the 134th pick in the WNC draft, Vatican City selects @Stride",Stride,0.6,2021-04-28,":vaticancity: With the 134th pick in the WNC draft, Vatican City selects @Stride"
Angel Leon,,1,2,SUN,Sunnydale Slayers,POR,Portland Pioneers,N,0.571,Maud Nelson,2018-12-02,draft,Henrik Omegas,,N,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson",Maud Nelson,0.571,2018-12-02,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson"
Angel Leon,,6,8,POR,Portland Pioneers,ACP,Acadia Peregrines,Y,1.0,P Angel Leon,2022-10-24,sign,Acadia Peregrines,ACP,Y,:peregrines: Acadia Peregrines sign  P **Angel Leon**,,,,
Arm N. Hammer,poet,7,8,ASS,Aruba Sea Serpents,GHG,Gas House Gorillas,Y,1.0,C Arm N. Hammer,2022-09-04,sign,Gas House Gorillas,GHG,Y,:Gorillas: Gas House Gorillas sign C **Arm N. Hammer**,,,,
Artie Ziff,,2,5,KYM,Kentucky Mashers,MAL,Malibu Waverunners,Y,1.0,Artie Ziff,2021-01-20,sign,Tactical Panda on Hiatus &,OAK,N,"**Session 9 Transactions (Effective Session 10)**

:Gorillas: **Cap Keeler** on Hiatus

:Waverunners:  **Tactical Panda*",,,,
Assassin Xekutioner,assassin xekutioner,2,3,MAL,Malibu Waverunners,SUN,Sunnydale Slayers,Y,1.0,Assassin Xekutioner,2018-12-02,draft,Gas House Gorillas,GHG,N,"With the fifth pick in the Season 2 Draft, the Gas House Gorillas select @Assassin Xekutioner.",,,,
Austin Schwartz,,3,4,KYM,Kentucky Mashers,ACP,Acadia Peregrines,N,0.621,Pizzatoes,2019-07-23,draft,Halifax Helmsmen,,N,With the 23rd pick the Halifax Helmsmen select @Pizzatoes,Pizzatoes,0.621,2019-07-23,With the 23rd pick the Halifax Helmsmen select @Pizzatoes
