result,archetype,n,band_lo,band_hi,source,la_min,la_ideal,la_max,ev_min,ev_max,depth_min,depth_max,flight_source
SacB,bunt,1,187,187,archetype,-68.0,-38.0,2.0,22.0,43.1,1.0,16.9,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
2B,double,1108,13,81,own,6.0,16.0,27.0,81.9,108.3,110.0,351.0,own
2BWH,double,178,16,69,own,14.0,19.0,25.0,98.2,110.2,267.0,366.0,own
DFO,fly_ball,27,142,276,archetype,20.0,30.0,39.0,91.4,103.6,331.0,365.0,own
DSacF,fly_ball,3,142,276,archetype,25.0,33.0,41.0,91.0,101.7,326.4,365.0,own
FO,fly_ball,2014,141,275,own,19.0,38.0,53.0,78.3,99.1,230.0,315.0,own
SacF,fly_ball,106,151,262,own,30.0,40.0,48.9,80.0,96.5,261.0,313.0,own
DP,grounder,544,329,500,own,-23.0,-8.0,3.0,72.3,104.5,5.0,69.0,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
DP21,grounder,51,373,496,own,-23.0,-8.0,3.0,72.3,104.5,5.0,69.0,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
DP31,grounder,36,436,499,own,-23.0,-8.0,3.0,72.3,104.5,5.0,69.0,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
DP32,grounder,6,216,496,archetype,,,,,,,,
DPH1,grounder,23,216,496,archetype,-23.0,-8.0,3.0,72.3,104.5,5.0,69.0,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
DPRun,grounder,10,216,496,archetype,-23.0,-8.0,3.0,72.3,104.5,5.0,69.0,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
FC,grounder,339,218,419,own,-37.0,-14.0,1.0,61.7,102.5,3.0,44.6,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
FC3rd,grounder,51,241,455,own,-37.0,-14.0,1.0,61.7,102.5,3.0,44.6,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
FCH,grounder,49,101,447,own,-37.0,-14.0,1.0,61.7,102.5,3.0,44.6,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
FCLead,grounder,2,216,496,archetype,,,,,,,,
GO,grounder,5093,216,434,own,-35.0,-11.0,3.0,65.0,103.0,3.0,61.0,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
GORA,grounder,221,195,324,own,-35.0,-11.0,3.0,65.0,103.0,3.0,61.0,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
TP,grounder,4,216,496,archetype,-23.0,-8.0,3.0,72.3,104.5,5.0,69.0,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
HR,home_run,886,0,43,own,22.0,28.0,35.0,99.6,109.6,369.0,423.0,own
IF1B,infield_single,475,111,183,own,-57.0,-10.0,8.0,44.6,103.3,1.0,108.0,"own; depth=first-bounce point (hit_distance_sc), audit reference only - not a runtime input"
PO,pop_up,829,179,374,own,54.0,66.0,78.0,61.0,91.8,56.0,179.0,own
1B,single,2661,42,158,own,-1.0,11.0,23.0,73.1,105.5,41.0,247.0,own
1BWH,single,675,36,148,own,13.0,17.0,22.7,103.8,113.3,253.3,356.7,own
1BWH2,single,4,39,156,archetype,10.0,13.0,17.0,103.5,110.7,204.0,296.0,own
3B,triple,274,6,50,own,7.0,17.0,29.0,86.2,107.8,138.6,358.0,own
