obc,outs,Result,Rng,Low,High
0,0,HR,20,0,19
0,0,3B,6,20,25
0,0,2B,30,26,55
0,0,1B,84,56,139
0,0,IF1B,10,140,149
0,0,BB,35,150,184
0,0,FO,47,185,231
0,0,PO,23,232,254
0,0,GO,141,255,395
0,0,K,105,396,500
0,1,HR,20,0,19
0,1,3B,6,20,25
0,1,2B,30,26,55
0,1,1B,84,56,139
0,1,IF1B,10,140,149
0,1,BB,35,150,184
0,1,FO,47,185,231
0,1,PO,23,232,254
0,1,GO,141,255,395
0,1,K,105,396,500
0,2,HR,20,0,19
0,2,3B,6,20,25
0,2,2B,30,26,55
0,2,1B,84,56,139
0,2,IF1B,10,140,149
0,2,BB,35,150,184
0,2,FO,47,185,231
0,2,PO,23,232,254
0,2,GO,141,255,395
0,2,K,105,396,500
1,0,HR,20,0,19
1,0,3B,6,20,25
1,0,2BWH,4,26,29
1,0,2B,26,30,55
1,0,1BWH,12,56,67
1,0,1B,72,68,139
1,0,IF1B,10,140,149
1,0,BB,35,150,184
1,0,GORA,12,185,196
1,0,FO,47,197,243
1,0,PO,23,244,266
1,0,FC,56,267,322
1,0,K,109,323,431
1,0,DP,69,432,500
1,1,HR,20,0,19
1,1,3B,6,20,25
1,1,2BWH,4,26,29
1,1,2B,26,30,55
1,1,1BWH,12,56,67
1,1,1B,72,68,139
1,1,IF1B,10,140,149
1,1,BB,35,150,184
1,1,GORA,12,185,196
1,1,FO,47,197,243
1,1,PO,23,244,266
1,1,FC,56,267,322
1,1,K,109,323,431
1,1,DP,69,432,500
1,2,HR,20,0,19
1,2,3B,6,20,25
1,2,2BWH,13,26,38
1,2,2B,17,39,55
1,2,1BWH,37,56,92
1,2,1B,47,93,139
1,2,IF1B,10,140,149
1,2,BB,35,150,184
1,2,FO,47,185,231
1,2,PO,23,232,254
1,2,GO,141,255,395
1,2,K,105,396,500
10,0,HR,20,0,19
10,0,3B,6,20,25
10,0,2B,30,26,55
10,0,1BWH,12,56,67
10,0,1B,72,68,139
10,0,IF1B,10,140,149
10,0,BB,35,150,184
10,0,GORA,34,185,218
10,0,DFO,7,219,225
10,0,FO,40,226,265
10,0,PO,23,266,288
10,0,GO,103,289,391
10,0,K,105,392,496
10,0,LODP,4,497,500
10,1,HR,20,0,19
10,1,3B,6,20,25
10,1,2B,30,26,55
10,1,1BWH,12,56,67
10,1,1B,72,68,139
10,1,IF1B,10,140,149
10,1,BB,35,150,184
10,1,GORA,34,185,218
10,1,DFO,7,219,225
10,1,FO,40,226,265
10,1,PO,23,266,288
10,1,GO,103,289,391
10,1,K,105,392,496
10,1,LODP,4,497,500
10,2,HR,20,0,19
10,2,3B,6,20,25
10,2,2B,30,26,55
10,2,1BWH,37,56,92
10,2,1B,47,93,139
10,2,IF1B,10,140,149
10,2,BB,35,150,184
10,2,FO,47,185,231
10,2,PO,23,232,254
10,2,GO,141,255,395
10,2,K,105,396,500
100,0,HR,20,0,19
100,0,3B,6,20,25
100,0,2B,30,26,55
100,0,1B,84,56,139
100,0,IF1B,10,140,149
100,0,BB,35,150,184
100,0,GORA,34,185,218
100,0,SacF,47,219,265
100,0,PO,23,266,288
100,0,GO,103,289,391
100,0,K,105,392,496
100,0,LODP,4,497,500
100,1,HR,20,0,19
100,1,3B,6,20,25
100,1,2B,30,26,55
100,1,1B,84,56,139
100,1,IF1B,10,140,149
100,1,BB,35,150,184
100,1,GORA,34,185,218
100,1,SacF,47,219,265
100,1,PO,23,266,288
100,1,GO,103,289,391
100,1,K,105,392,496
100,1,LODP,4,497,500
100,2,HR,20,0,19
100,2,3B,6,20,25
100,2,2B,30,26,55
100,2,1B,84,56,139
100,2,IF1B,10,140,149
100,2,BB,35,150,184
100,2,FO,47,185,231
100,2,PO,23,232,254
100,2,GO,141,255,395
100,2,K,105,396,500
11,0,HR,20,0,19
11,0,3B,6,20,25
11,0,2BWH,4,26,29
11,0,2B,26,30,55
11,0,1BWH,12,56,67
11,0,1B,72,68,139
11,0,IF1B,10,140,149
11,0,BB,35,150,184
11,0,GORA,12,185,196
11,0,DFO,7,197,203
11,0,FO,40,204,243
11,0,PO,23,244,266
11,0,FC,22,267,288
11,0,FC3rd,22,289,310
11,0,K,105,311,415
11,0,DP21,39,416,454
11,0,DP31,42,455,496
11,0,TP,4,497,500
11,1,HR,20,0,19
11,1,3B,6,20,25
11,1,2BWH,4,26,29
11,1,2B,26,30,55
11,1,1BWH,12,56,67
11,1,1B,72,68,139
11,1,IF1B,10,140,149
11,1,BB,35,150,184
11,1,GORA,12,185,196
11,1,DFO,7,197,203
11,1,FO,40,204,243
11,1,PO,23,244,266
11,1,FC,22,267,288
11,1,FC3rd,22,289,310
11,1,K,109,311,419
11,1,DP21,39,420,458
11,1,DP31,42,459,500
11,2,HR,20,0,19
11,2,3B,6,20,25
11,2,2BWH,13,26,38
11,2,2B,17,39,55
11,2,1BWH,37,56,92
11,2,1B,47,93,139
11,2,IF1B,10,140,149
11,2,BB,35,150,184
11,2,FO,47,185,231
11,2,PO,23,232,254
11,2,GO,141,255,395
11,2,K,105,396,500
101,0,HR,20,0,19
101,0,3B,6,20,25
101,0,2BWH,4,26,29
101,0,2B,26,30,55
101,0,1BWH,12,56,67
101,0,1B,72,68,139
101,0,IF1B,10,140,149
101,0,BB,35,150,184
101,0,GORA,12,185,196
101,0,SacF,47,197,243
101,0,PO,23,244,266
101,0,FC,62,267,328
101,0,DPRun,22,329,350
101,0,K,109,351,459
101,0,DP,41,460,500
101,1,HR,20,0,19
101,1,3B,6,20,25
101,1,2BWH,4,26,29
101,1,2B,26,30,55
101,1,1BWH,12,56,67
101,1,1B,72,68,139
101,1,IF1B,10,140,149
101,1,BB,35,150,184
101,1,GORA,12,185,196
101,1,SacF,47,197,243
101,1,PO,23,244,266
101,1,FC,85,267,351
101,1,K,109,352,460
101,1,DP,40,461,500
101,2,HR,20,0,19
101,2,3B,6,20,25
101,2,2BWH,13,26,38
101,2,2B,17,39,55
101,2,1BWH,37,56,92
101,2,1B,47,93,139
101,2,IF1B,10,140,149
101,2,BB,35,150,184
101,2,FO,47,185,231
101,2,PO,23,232,254
101,2,GO,141,255,395
101,2,K,105,396,500
110,0,HR,20,0,19
110,0,3B,6,20,25
110,0,2B,30,26,55
110,0,1BWH,12,56,67
110,0,1B,72,68,139
110,0,IF1B,10,140,149
110,0,BB,35,150,184
110,0,GORA,47,185,231
110,0,DSacF,7,232,238
110,0,SacF,40,239,278
110,0,PO,23,279,301
110,0,GO,90,302,391
110,0,K,105,392,496
110,0,LODP,4,497,500
110,1,HR,20,0,19
110,1,3B,6,20,25
110,1,2B,30,26,55
110,1,1BWH,12,56,67
110,1,1B,72,68,139
110,1,IF1B,10,140,149
110,1,BB,35,150,184
110,1,GORA,47,185,231
110,1,DSacF,7,232,238
110,1,SacF,40,239,278
110,1,PO,23,279,301
110,1,GO,90,302,391
110,1,K,105,392,496
110,1,LODP,4,497,500
110,2,HR,20,0,19
110,2,3B,6,20,25
110,2,2B,30,26,55
110,2,1BWH,37,56,92
110,2,1B,47,93,139
110,2,IF1B,10,140,149
110,2,BB,35,150,184
110,2,FO,47,185,231
110,2,PO,23,232,254
110,2,GO,141,255,395
110,2,K,105,396,500
111,0,HR,20,0,19
111,0,3B,6,20,25
111,0,2BWH,4,26,29
111,0,2B,26,30,55
111,0,1BWH,12,56,67
111,0,1B,72,68,139
111,0,IF1B,10,140,149
111,0,BB,35,150,184
111,0,GORA,27,185,211
111,0,DSacF,7,212,218
111,0,SacF,40,219,258
111,0,PO,23,259,281
111,0,FCH,20,282,301
111,0,K,105,302,406
111,0,DP21,29,407,435
111,0,DP31,29,436,464
111,0,DPH1,32,465,496
111,0,TP,4,497,500
111,1,HR,20,0,19
111,1,3B,6,20,25
111,1,2BWH,4,26,29
111,1,2B,26,30,55
111,1,1BWH,12,56,67
111,1,1B,72,68,139
111,1,IF1B,10,140,149
111,1,BB,35,150,184
111,1,GORA,27,185,211
111,1,DSacF,7,212,218
111,1,SacF,40,219,258
111,1,PO,23,259,281
111,1,FCH,20,282,301
111,1,K,109,302,410
111,1,DP21,29,411,439
111,1,DP31,29,440,468
111,1,DPH1,32,469,500
111,2,HR,20,0,19
111,2,3B,6,20,25
111,2,2BWH,13,26,38
111,2,2B,17,39,55
111,2,1BWH,37,56,92
111,2,1B,47,93,139
111,2,IF1B,10,140,149
111,2,BB,35,150,184
111,2,FO,47,185,231
111,2,PO,23,232,254
111,2,GO,141,255,395
111,2,K,105,396,500
