remaining,outs,obc,batting_lead,win_prob,win_sum,n
12,0,000,18,1.0,1540,1540
12,0,000,17,1.0,745,745
12,0,000,16,0.9987,779,780
12,0,000,15,0.9987,776,777
12,0,000,14,1.0,740,740
12,0,000,13,0.9987,756,757
12,0,000,12,0.9918,726,732
12,0,000,11,0.9906,734,741
12,0,000,10,0.9861,710,720
12,0,000,9,0.9769,676,692
12,0,000,8,0.9649,632,655
12,0,000,7,0.9556,215,225
12,0,000,6,0.9253,508,549
12,0,000,5,0.878,1252,1426
12,0,000,4,0.8322,3392,4076
12,0,000,3,0.7781,8639,11102
12,0,000,2,0.6973,20933,30020
12,0,000,1,0.6035,48153,79789
12,0,000,0,0.4997,999602,2000265
12,0,000,-1,0.4213,313,743
12,0,000,-2,0.3096,226,730
12,0,000,-3,0.2106,159,755
12,0,000,-4,0.1553,116,747
12,0,000,-5,0.1229,94,765
12,0,000,-6,0.0803,59,735
12,0,000,-7,0.0545,41,752
12,0,000,-8,0.0383,30,783
12,0,000,-9,0.0199,15,754
12,0,000,-10,0.0118,9,764
12,0,000,-11,0.0068,5,735
12,0,000,-12,0.0055,4,726
12,0,000,-13,0.0014,1,729
12,0,000,-14,0.0028,2,721
12,0,000,-15,0.0032,2,632
12,0,000,-16,0.0017,1,602
12,0,000,-17,0.0,0,520
12,0,000,-18,0.0,0,500
12,0,001,18,1.0,1216,1216
12,0,001,17,1.0,844,844
12,0,001,16,0.9977,856,858
12,0,001,15,0.9988,819,820
12,0,001,14,0.9988,807,808
12,0,001,13,0.9952,838,842
12,0,001,12,0.9938,796,801
12,0,001,11,0.9927,812,818
12,0,001,10,0.9905,830,838
12,0,001,9,0.9736,774,795
12,0,001,8,0.9756,761,780
12,0,001,7,0.9615,650,676
12,0,001,6,0.9226,286,310
12,0,001,5,0.8924,456,511
12,0,001,4,0.8513,1145,1345
12,0,001,3,0.7875,2912,3698
12,0,001,2,0.7178,7365,10260
12,0,001,1,0.6343,17509,27604
12,0,001,0,0.5332,274441,514697
12,0,001,-1,0.4414,354,802
12,0,001,-2,0.3396,272,801
12,0,001,-3,0.2438,197,808
12,0,001,-4,0.1907,155,813
12,0,001,-5,0.1385,108,780
12,0,001,-6,0.0944,77,816
12,0,001,-7,0.0668,54,808
12,0,001,-8,0.0418,35,838
12,0,001,-9,0.0179,15,838
12,0,001,-10,0.0164,14,854
12,0,001,-11,0.0098,8,817
