outs,obc,result,count,probability
0,000,GO,3004,0.27825120414968507
0,000,K,2208,0.2045201926639496
0,000,1B,1878,0.1739533160429789
0,000,FO,1048,0.09707298999629492
0,000,BB,737,0.0682660244535013
0,000,2B,649,0.06011485735457577
0,000,PO,429,0.03973693960726195
0,000,HR,425,0.039366432011856245
0,000,IF1B,220,0.02037791774731382
0,000,3B,167,0.015468692108188218
0,000,bAuto,21,0.0019451648758799555
0,000,pAuto,8,0.0007410151908114116
0,000,B1B,1,9.262689885142645e-05
0,000,BGO,1,9.262689885142645e-05
0,001,K,557,0.18830290736984448
0,001,DP,370,0.1250845165652468
0,001,1B,338,0.11426639621365788
0,001,SB2,287,0.09702501690331305
0,001,FC,267,0.09026369168356999
0,001,FO,242,0.08181203515889114
0,001,BB,158,0.05341446923597025
0,001,2B,127,0.04293441514536849
0,001,CS2,123,0.04158215010141988
0,001,PO,109,0.03684922244759973
0,001,HR,108,0.036511156186612576
0,001,1BWH,97,0.03279242731575389
0,001,GORA,53,0.017917511832319134
0,001,IF1B,44,0.014874915483434753
0,001,3B,34,0.011494252873563218
0,001,2BWH,33,0.011156186612576065
0,001,bAuto,4,0.001352265043948614
0,001,B1B,2,0.000676132521974307
0,001,SacB,2,0.000676132521974307
0,001,BFC,1,0.0003380662609871535
0,001,Balk,1,0.0003380662609871535
0,001,IBB,1,0.0003380662609871535
0,010,K,229,0.20894160583941607
0,010,GO,185,0.1687956204379562
0,010,1B,163,0.14872262773722628
0,010,GORA,85,0.07755474452554745
0,010,FO,81,0.0739051094890511
0,010,2B,76,0.06934306569343066
0,010,BB,65,0.05930656934306569
0,010,HR,53,0.048357664233576646
0,010,PO,42,0.03832116788321168
0,010,1BWH,38,0.03467153284671533
0,010,DFO,27,0.024635036496350366
0,010,IF1B,17,0.01551094890510949
0,010,3B,12,0.010948905109489052
0,010,LODP,9,0.008211678832116789
0,010,IBB,7,0.006386861313868613
0,010,SB3,2,0.0018248175182481751
0,010,bAuto,2,0.0018248175182481751
0,010,B1B,1,0.0009124087591240876
0,010,BFC,1,0.0009124087591240876
0,010,CS3,1,0.0009124087591240876
0,011,K,145,0.21014492753623187
0,011,1B,94,0.13623188405797101
0,011,FO,80,0.11594202898550725
0,011,DP31,47,0.06811594202898551
0,011,BB,43,0.06231884057971015
0,011,DP21,41,0.059420289855072465
0,011,2B,38,0.05507246376811594
0,011,FC,33,0.04782608695652174
0,011,FC3rd,32,0.0463768115942029
0,011,HR,30,0.043478260869565216
0,011,PO,23,0.03333333333333333
0,011,GORA,17,0.02463768115942029
0,011,IF1B,16,0.02318840579710145
0,011,1BWH,11,0.015942028985507246
0,011,3B,11,0.015942028985507246
0,011,2BWH,8,0.011594202898550725
0,011,DFO,8,0.011594202898550725
0,011,TP,4,0.005797101449275362
0,011,1BWH2,2,0.002898550724637681
0,011,B1B,2,0.002898550724637681
0,011,BFC,2,0.002898550724637681
0,011,IBB,1,0.0014492753623188406
0,011,SacB,1,0.0014492753623188406
0,011,bAuto,1,0.0014492753623188406
0,100,K,52,0.21311475409836064
0,100,GO,46,0.1885245901639344
0,100,1B,45,0.18442622950819673
0,100,SacF,24,0.09836065573770492
0,100,BB,19,0.0778688524590164
0,100,2B,13,0.05327868852459016
0,100,PO,12,0.04918032786885246
0,100,GORA,11,0.045081967213114756
0,100,HR,7,0.028688524590163935
0,100,3B,4,0.01639344262295082
0,100,IF1B,4,0.01639344262295082
0,100,CS4,2,0.00819672131147541
0,100,IBB,2,0.00819672131147541
0,100,LODP,2,0.00819672131147541
0,100,FO,1,0.004098360655737705
0,101,K,66,0.18181818181818182
0,101,1B,57,0.15702479338842976
0,101,FC,39,0.10743801652892562
0,101,SacF,28,0.07713498622589532
0,101,DP,23,0.06336088154269973
0,101,BB,22,0.06060606060606061
0,101,SB2,22,0.06060606060606061
0,101,HR,18,0.049586776859504134
0,101,2B,16,0.0440771349862259
0,101,1BWH,14,0.03856749311294766
0,101,CS2,12,0.03305785123966942
0,101,PO,11,0.030303030303030304
0,101,DPRun,7,0.01928374655647383
0,101,IF1B,7,0.01928374655647383
0,101,3B,6,0.01652892561983471
0,101,2BWH,4,0.011019283746556474
0,101,FO,3,0.008264462809917356
0,101,IBB,3,0.008264462809917356
0,101,GORA,2,0.005509641873278237
0,101,Balk,1,0.0027548209366391185
0,101,LODP,1,0.0027548209366391185
0,101,bAuto,1,0.0027548209366391185
0,110,K,62,0.2767857142857143
0,110,GO,45,0.20089285714285715
0,110,1B,37,0.16517857142857142
0,110,GORA,12,0.05357142857142857
0,110,SacF,12,0.05357142857142857
0,110,BB,11,0.049107142857142856
0,110,PO,8,0.03571428571428571
0,110,2B,7,0.03125
0,110,DSacF,7,0.03125
0,110,IBB,6,0.026785714285714284
0,110,IF1B,6,0.026785714285714284
0,110,1BWH,5,0.022321428571428572
0,110,HR,3,0.013392857142857142
0,110,LODP,2,0.008928571428571428
0,110,3B,1,0.004464285714285714
0,111,K,58,0.2078853046594982
0,111,1B,43,0.15412186379928317
0,111,2B,21,0.07526881720430108
0,111,DPH1,19,0.06810035842293907
0,111,BB,18,0.06451612903225806
0,111,DP21,18,0.06451612903225806
0,111,FCH,14,0.05017921146953405
0,111,SacF,14,0.05017921146953405
0,111,1BWH,12,0.043010752688172046
0,111,PO,12,0.043010752688172046
0,111,GORA,10,0.035842293906810034
0,111,HR,10,0.035842293906810034
0,111,DP31,8,0.02867383512544803
0,111,DSacF,7,0.025089605734767026
0,111,IF1B,4,0.014336917562724014
0,111,2BWH,3,0.010752688172043012
0,111,3B,2,0.007168458781362007
0,111,B1B,2,0.007168458781362007
0,111,TP,2,0.007168458781362007
0,111,1BWH2,1,0.0035842293906810036
0,111,Balk,1,0.0035842293906810036
1,000,GO,2089,0.27998927757673236
1,000,K,1546,0.20721082964750034
1,000,1B,1268,0.16995040879238707
1,000,FO,773,0.10360541482375017
1,000,BB,485,0.0650046910601796
1,000,2B,465,0.06232408524326498
1,000,PO,292,0.03913684492695349
1,000,HR,289,0.0387347540544163
1,000,IF1B,138,0.018496180136710897
1,000,3B,89,0.01192869588527007
1,000,bAuto,19,0.0025465755260688917
1,000,pAuto,4,0.0005361211633829246
1,000,IBB,2,0.0002680605816914623
1,000,B1B,1,0.00013403029084573114
1,000,BGO,1,0.00013403029084573114
1,001,K,583,0.1791090629800307
1,001,DP,408,0.12534562211981568
1,001,1B,403,0.12380952380952381
1,001,FC,329,0.1010752688172043
1,001,FO,268,0.08233486943164363
1,001,SB2,250,0.07680491551459294
1,001,BB,210,0.06451612903225806
1,001,2B,137,0.04208909370199693
1,001,PO,125,0.03840245775729647
1,001,1BWH,121,0.03717357910906298
1,001,CS2,116,0.035637480798771125
1,001,HR,112,0.034408602150537634
1,001,IF1B,70,0.021505376344086023
1,001,GORA,53,0.0162826420890937
1,001,2BWH,39,0.011981566820276499
1,001,3B,22,0.006758832565284178
1,001,bAuto,6,0.0018433179723502304
1,001,B1B,2,0.0006144393241167435
