id,game_id,play_num,game_code,timestamp,umpire,away,home,inning_raw,away_score,home_score,play_type,result,play_code,pitcher_id,catcher_id,pos,batter_id,on_first,on_second,on_third,scored2,scored3,scored4,er1,er2,er3,er4,pitch,swing,throw_num,runner_id,steal_num,pitcher_name,batter_name,catcher_name,runner_name,off_team,def_team,inning,half,obc,outs,diff,is_fp_inn,is_fp_app,league,season,season_type
75426,1084,100803016,null,null,null,null,null,null,1,1,Steal,SB2,0_1_SB2,1061,1052,null,1162,1162,0,0,0,0,0,null,null,null,null,0,0,199,1162,500,Hudson Hildebrandt,Nate Lewis,Zed Leona,Nate Lewis,Raccoon City Outbreak,Humongous Melonheads,2,bottom,001,0,0,false,false,MLN,10,null
75478,1085,100804017,null,null,null,null,null,null,1,0,Steal,SB2,0_1_SB2,7023,7011,null,2020,2020,0,0,0,0,0,null,null,null,null,0,0,977,2020,110,Mickey May,Demetrios Ooga,Derek Rasmussen,Demetrios Ooga,Aruba Sea Serpents,Miami Fuego,3,top,001,0,0,false,false,MLN,10,null
75662,1088,100807037,null,null,null,null,null,null,5,0,Steal,SB3,2_2_SB3,3005,3071,null,3057,0,8008,0,0,0,0,null,null,null,null,0,0,433,8008,637,Pablo Sanchez,Speedo Meter,Jura,Guy Gilwater,Portland Pioneers,Halifax Highlanders,5,top,010,2,0,false,false,MLN,10,null
75646,1088,100807021,null,null,null,null,null,null,4,0,Steal,SB2,2_1_SB2,3005,3071,null,3057,3057,0,0,0,0,0,null,null,null,null,0,0,43,3057,69,Pablo Sanchez,Speedo Meter,Jura,Speedo Meter,Portland Pioneers,Halifax Highlanders,3,top,001,2,0,false,false,MLN,10,null
85590,1265,130102036,null,5/26/2026 11:37,U1023,R6,R5,T4,1,2,Steal,SB2,1_1_SB2,7041,13040,RF,13028,13029,-,-,-,-,-,-,-,-,-,null,null,222,13029,486,Tyler Helman,Mikey Reynolds,Carter Kendall,Mickey Scales,R6,R5,4,top,001,1,null,false,false,RLN,null,null
75331,1082,100801021,null,null,null,null,null,null,1,2,Steal,CS2,0_1_CS2,3011,9038,null,7021,7021,0,0,0,0,0,null,null,null,null,0,0,69,7021,690,December Beckett,Dutch Boggs,John McDonald Jr.,Dutch Boggs,Kansas City Kitties,Sopher McDophers,3,top,001,0,0,false,false,MLN,10,null
9610,152,21107014,null,null,null,null,null,null,3,0,Steal,CS,1_1_CS,1204,2037,null,1091,1091,0,0,0,0,0,null,null,null,null,0,0,250,1091,819,Syd Kidd,Dougal McGoogol,Remi Renaldo,Dougal McGoogol,Acadia Peregrines,Portland Pioneers,2,top,001,1,0,false,false,MLN,2,null
1820,1,10101022,null,null,null,null,null,null,0,2,Steal,AutoSB,0_1_AutoSB,1106,1100,null,1119,1119,0,0,0,0,0,null,null,null,null,0,0,0,1119,0,Jay Schwizzle,Willie Mays Hayes,Antwan Zella,Willie Mays Hayes,Aruba Sea Serpents,Kansas City Kitties,3,bottom,001,0,0,false,false,MLN,1,null
1840,1,10101042,null,null,null,null,null,null,3,3,Steal,SB,1_1_SB,1128,1100,null,1119,1119,0,0,0,0,0,null,null,null,null,0,0,420,1119,599,S.A.R Dinka,Willie Mays Hayes,Antwan Zella,Willie Mays Hayes,Aruba Sea Serpents,Kansas City Kitties,5,bottom,001,1,0,false,false,MLN,1,null
1879,2,10102038,null,null,null,null,null,null,1,1,Steal,SB,1_1_SB,1061,1169,null,1143,1143,0,0,0,0,0,null,null,null,null,0,0,330,1143,290,Hudson Hildebrandt,Viking Fishbird,Jerome Garcia,Viking Fishbird,Carolina Reapers,Humongous Melonheads,5,bottom,001,1,0,false,false,MLN,1,null
