date,season,session,type,team,player,position,trade_partner,assets_sent,assets_received,notes,raw_message,needs_review
2018-11-28,2,,sign,The Originals,Duke Nukem,,,,,,The Originals sign Duke Nukem,
2018-11-28,2,,sign,The Henrik Omegas,Hank Murphy,,,,,,The Henrik Omegas sign Hank Murphy,
2018-11-28,2,,sign,The Sunnydale Slayers,Master Cashier,,,,,,The Sunnydale Slayers sign Master Cashier,
2018-11-28,2,,re_sign,The Cincinnati Redlegs,"the K leader himself, Ronald Eagle",,,,,,"The Cincinnati Redlegs re-sign the K leader himself, Ronald Eagle",
2018-11-30,2,,sign,The Pioneers use nepostism to,Billtopher Gatestopher,,,,,,The Pioneers use nepostism to sign Billtopher Gatestopher,
2018-12-02,2,,draft,Henrik Omegas,ooga,,,,,Pick 1 | MLN S2,"With the first pick in the Season 2 Draft, the Henrik Omegas choose @ooga.",
2018-12-02,2,,draft,Cincinnati Longhorns,Muchul Uckenburry,,,,,Pick 2 | MLN S2,"With the second pick in the Season 2 Draft, the Cincinnati Longhorns select Muchul Uckenburry.",
2018-12-02,2,,draft,Sleepy Hollow Horsemen,Baba,,,,,Pick 3 | MLN S2,"With the third pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Baba.",
2018-12-02,2,,draft,Acadia Peregrines,codomojump,,,,,Pick 4 | MLN S2,"With the fourth pick in the Season 2 Draft, the Acadia Peregrines select @codomojump.",
2018-12-02,2,,draft,Gas House Gorillas,Assassin Xekutioner,,,,,Pick 5 | MLN S2,"With the fifth pick in the Season 2 Draft, the Gas House Gorillas select @Assassin Xekutioner.",
2018-12-02,2,,draft,Vancouver Vampires,jlh2b,,,,,Pick 6 | MLN S2,"With the sixth pick in the Season 2 Draft, the Vancouver Vampires select @jlh2b.",
2018-12-02,2,,draft,Lonestar Pumpjacks,Tequila,,,,,Pick 7 | MLN S2,"With the seventh pick in the Season 2 Draft, the Lonestar Pumpjacks select @Tequila.",
2018-12-02,2,,draft,Portland Pioneers,Fortuk Monmouth,,,,,Pick 8 | MLN S2,"With the eighth pick in the Season 2 Draft, the Portland Pioneers select @Fortuk Monmouth.",
2018-12-02,2,,draft,Humongous Melon Heads,costanza,,,,,Pick 9 | MLN S2,"With the ninth pick in the Season 2 Draft, the Humongous Melon Heads select @costanza.",
2018-12-02,2,,draft,Vancouver Vampires,RelaxPats,,,,,Pick 10 | MLN S2,"With the tenth pick in the Season 2 Draft, the Vancouver Vampires select @RelaxPats.",
2018-12-02,2,,draft_pick_trade,,,,,,,Trade detected but sides not parsed | MLN draft,"The McDophers trade it to the Waverunners for the 23rd overall pick, with stipulations, who select @Kali | Stabby Stabby.",Y
2018-12-02,2,,draft,Kentucky Masher,Shovel Bryant,,,,,Pick 12 | MLN S2,"With the twelfth pick in the Season 2 Draft, the Kentucky Masher select, @Shovel Bryant.",
2018-12-02,2,,draft,Arkasas Perogies,Tigerfan895,,,,,Pick 13 | MLN S2,"With the thirteenth pick in the Season 2 Draft, the Arkasas Perogies select @Tigerfan895.",
2018-12-02,2,,draft,Portland Pioneers,DiegoG-alt,,,,,Pick 15 | MLN S2,"With the fifteenth pick in the Season 2 Draft, the Portland Pioneers select @DiegoG-alt",
2018-12-02,2,,draft,Sleepy Hollow Horsemen,naisawol,,,,,Pick 16 | MLN S2,"With the sixteenth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @naisawol",
2018-12-02,2,,draft,Acadia Peregrines,BoingoRider 💾,,,,,Pick 17 | MLN S2,"With the seventeenth pick in the Season 2 Draft, the Acadia Peregrines select @BoingoRider 💾",
2018-12-02,2,,draft,Gassy Gorillas,Super Talent,,,,,Pick 18 | MLN S2,"With the eighteenth pick in the Season 2 Draft, the Gassy Gorillas select @Super Talent",
2018-12-02,2,,draft,Vancouver Vampires,Kal,,,,,Pick 19 | MLN S2,"With the nineteenth pick in the Season 2 Draft, the Vancouver Vampires select @Kal",
2018-12-02,2,,draft,Lonestar Pumpjacks,Zachadee,,,,,Pick 20 | MLN S2,"With the twentieth pick in the Season 2 Draft, the Lonestar Pumpjacks select @Zachadee",
2018-12-02,2,,draft,Cincinnati Longhorns,Lois Whip,,,,,Pick None | MLN S2,"With the twenty first pick in the Season 2 Draft, the Cincinnati Longhorns select @Lois Whip",
2018-12-02,2,,draft,Humongous Melonheads,tsimaskillz,,,,,Pick None | MLN S2,"With the twenty second pick in the Season 2 Draft, the Humongous Melonheads select  @tsimaskillz",
2018-12-02,2,,draft,Henrik Omegas,Britt O'War,,,,,Pick None | MLN S2,"With the twenty third pick in the Season 2 Draft, the Henrik Omegas select @Britt O'War",
2018-12-02,2,,draft,Malibu Waverunners,KigerWulf,,,,,Pick None | MLN S2,"With the twenty fourth pick in the Season 2 Draft, the Malibu Waverunners select @KigerWulf",
2018-12-02,2,,draft,Acadia Peregrines,Random Defence,,,,,Pick None | MLN S2,"With the twenty fifth pick in the Season 2 Draft, the Acadia Peregrines select @Random Defence",
2018-12-02,2,,draft,Humongous Melonheads,Magozar,,,,,Pick None | MLN S2,"With the twenty sixth pick in the Season 2 Draft, the Humongous Melonheads select @Magozar",
2018-12-02,2,,draft,Henrik Omegas,librarylass,,,,,Pick None | MLN S2,"With the twenty seventh pick in the Season 2 Draft, the Henrik Omegas select @librarylass",
2018-12-02,2,,draft,Sleepy Hollow Horsemen,Deleted User,,,,,Pick None | MLN S2,"With the twenty eighth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Deleted User",
2018-12-02,2,,draft,Vancouver Vampires,Donked McToad,,,,,Pick None | MLN S2,"With the twenty ninth pick in the Season 2 Draft, the Vancouver Vampires select @Donked McToad",
2018-12-02,2,,draft,Gassy Gorillas,Rico Chet,,,,,Pick 30 | MLN S2,"With the thirtieth pick in the Season 2 Draft, the Gassy Gorillas select @Rico Chet",
2018-12-02,2,,draft,Vancouver Vampires,sly,,,,,Pick None | MLN S2,"With the thirty first pick in the Season 2 Draft, the Vancouver Vampires select @sly",
2018-12-02,2,,draft,Lonestar Pumpjacks,Burgess Whitehead - 1B - Stud,,,,,Pick None | MLN S2,"With the thirty second pick in the Season 2 Draft, the Lonestar Pumpjacks select @Burgess Whitehead -  1B - Stud",
2018-12-02,2,,draft,Malibu Waverunners,Angelus000,,,,,Pick None | MLN S2,"With the thirty third pick in the Season 2 Draft, the Malibu Waverunners select @Angelus000",
2018-12-02,2,,draft,Sunnyvale Slayers,clarkbar36,,,,,Pick None | MLN S2,"With the thirty fourth pick in the Season 2 Draft, the Sunny*v*ale Slayers select @clarkbar36",
2018-12-02,2,,draft,Henrik Omegas,Touchdownmike55,,,,,Pick None | MLN S2,"With the thirty fifth pick in the Season 2 Draft, the Henrik Omegas select @Touchdownmike55",
2018-12-02,2,,draft,Portland Pioneers,Megatomic,,,,,Pick None | MLN S2,"With the thirty sixth pick in the Season 2 Draft, the Portland Pioneers select @Megatomic",
2018-12-02,2,,draft,Sleepy Hollow Horsemen,Alex - Sun Sox,,,,,Pick None | MLN S2,"With the thirty seventh pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Alex - Sun Sox",
2018-12-02,2,,draft,Vancouver Vampires,CGorzo,,,,,Pick None | MLN S2,"With the thirty eighth pick in the Season 2 Draft, the Vancouver Vampires select @CGorzo",
2018-12-02,2,,draft,Vancouver Vampires,Fattywithoutafry,,,,,Pick None | MLN S2,"With the thirty ninth pick in the Season 2 Draft, the Vancouver Vampires select @Fattywithoutafry",
2018-12-02,2,,draft,Lonestar Jumping Jacks,Bum,,,,,Pick None | MLN S2,"With the fortieth pick in the Season 2 Draft, the Lonestar Jumping Jacks select @Bum",
2018-12-02,2,,draft,Humongous Melonheads,bleeblah2424,,,,,Pick None | MLN S2,"With the forty first pick in the Season 2 Draft, the Humongous Melonheads select @bleeblah2424",
2018-12-02,2,,draft,Malibu Waverunners,JacobH,,,,,Pick None | MLN S2,"With the forty second pick in the Season 2 Draft, the Malibu Waverunners select @JacobH",
2018-12-02,2,,draft,Henrik Omegas,Famous Anus,,,,,Pick None | MLN S2,"With the forty third pick in the Season 2 Draft, the Henrik Omegas select @Famous Anus",
2018-12-02,2,,draft,Portland Pioneers,Anthony T,,,,,Pick None | MLN S2,"With the forty fourth pick in the Season 2 Draft, the Portland Pioneers select @Anthony T",
2018-12-02,2,,draft,Sleepy Hollow Horsemen,corgionfire,,,,,Pick None | MLN S2,"With the forty fifth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @corgionfire",
2018-12-02,2,,draft,Malibu Waverunners,mdstud4,,,,,Pick None | MLN S2,"With the forty sixth pick in the Season 2 Draft, the Malibu Waverunners select @mdstud4",
2018-12-02,2,,draft,Henrik Omegas,Maud Nelson,,,,,Pick None | MLN S2,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson",
2018-12-02,2,,draft,Malibu Waverunners,just R,,,,,Pick None | MLN S2,"With the forty eighth pick in the Season 2 Draft, the Malibu Waverunners select @just R",
2018-12-02,2,,draft,Henrik Omegas,jabroni,,,,,Pick None | MLN S2,"With the forty ninth pick in the Season 2 Draft, the Henrik Omegas select @jabroni",
2018-12-02,2,,draft,Henrik Omegas,Flying Porygon,,,,,Pick None | MLN S2,"With the fiftieth pick in the Season 2 Draft, the Henrik Omegas select @Flying Porygon",
2019-07-23,3,,draft,New Orleans Crawdads,December Beckitt,,,,,Pick 1 | MLN S3,"With the first pick in the Season 3 Draft, the New Orleans Crawdads select @December Beckitt",
