remaining,outs,obc,batting_lead,win_prob
12,0,0,18,1
12,0,0,17,1
12,0,0,16,0.9997
12,0,0,15,0.999
12,0,0,14,0.999
12,0,0,13,0.9977
12,0,0,12,0.996
12,0,0,11,0.9927
12,0,0,10,0.9857
12,0,0,9,0.9793
12,0,0,8,0.9111
12,0,0,7,0.9111
12,0,0,6,0.9088
12,0,0,5,0.8764
12,0,0,4,0.8468
12,0,0,3,0.7863
12,0,0,2,0.6966
12,0,0,1,0.6032
12,0,0,0,0.5001
12,0,0,-1,0.3953
12,0,0,-2,0.3
12,0,0,-3,0.2207
12,0,0,-4,0.147
12,0,0,-5,0.1073
12,0,0,-6,0.0803
12,0,0,-7,0.047
12,0,0,-8,0.0373
12,0,0,-9,0.018
12,0,0,-10,0.0117
12,0,0,-11,0.0073
12,0,0,-12,0.0043
12,0,0,-13,0.0043
12,0,0,-14,0.001
12,0,0,-15,0.0007
12,0,0,-16,0.0003
12,0,0,-17,0.0003
12,0,0,-18,0
12,0,1,18,0.9997
12,0,1,17,0.9997
12,0,1,16,0.9997
12,0,1,15,0.9993
12,0,1,14,0.9977
12,0,1,13,0.9977
12,0,1,12,0.9963
12,0,1,11,0.9947
12,0,1,10,0.989
12,0,1,9,0.982
12,0,1,8,0.9697
12,0,1,7,0.95
12,0,1,6,0.8774
12,0,1,5,0.8774
12,0,1,4,0.8548
12,0,1,3,0.8054
12,0,1,2,0.72
12,0,1,1,0.6308
12,0,1,0,0.5318
12,0,1,-1,0.432
12,0,1,-2,0.3257
12,0,1,-3,0.254
12,0,1,-4,0.188
12,0,1,-5,0.125
12,0,1,-6,0.08
12,0,1,-7,0.0563
12,0,1,-8,0.034
12,0,1,-9,0.0233
12,0,1,-10,0.0143
12,0,1,-11,0.0077
12,0,1,-12,0.0043
12,0,1,-13,0.0033
12,0,1,-14,0.001
12,0,1,-15,0.0007
12,0,1,-16,0
12,0,1,-17,0
12,0,1,-18,0
12,0,10,18,0.9997
12,0,10,17,0.9993
12,0,10,16,0.9993
12,0,10,15,0.9993
