remaining,outs,obc,batting_lead,win_prob,n_samples,n_used,method,prior_source,tango_weight,iso_delta
1,0,000,-10,0.0010000000000000002,30,30,empirical,gregstoll,0.4,0.0006
1,1,000,-10,0.001,15,15,empirical,gregstoll,0.5714285714285714,0.000429
1,2,000,-10,0.001,14,14,empirical,gregstoll,0.5882352941176471,0.000412
1,0,000,-9,0.0015000000000000002,10,10,empirical,gregstoll,0.6666666666666666,0.000833
1,1,000,-9,0.0015,8,27,re_collapsed,gregstoll,0.425531914893617,0.001074
1,2,000,-9,0.001,5,5,re_collapsed,gregstoll,0.8,0.0002
1,0,000,-8,0.002,17,17,empirical,gregstoll,0.5405405405405406,0.001317
1,1,000,-8,0.0015,12,12,empirical,gregstoll,0.625,0.00071
1,2,000,-8,0.001,10,10,empirical,gregstoll,0.6666666666666666,0.000158
1,0,000,-7,0.025059444508493733,35,35,empirical,gregstoll,0.36363636363636365,-0.027558
1,1,000,-7,0.018905656383666317,17,17,empirical,gregstoll,0.5405405405405406,-0.003372
1,2,000,-7,0.01406976121789034,11,11,empirical,gregstoll,0.6451612903225806,-0.01252
1,0,000,-6,0.025559444508493734,54,54,empirical,gregstoll,0.2702702702702703,0.005579
1,1,000,-6,0.019405656383666318,35,35,empirical,gregstoll,0.36363636363636365,-0.001399
1,2,000,-6,0.01456976121789034,27,27,empirical,gregstoll,0.425531914893617,-0.009776
1,0,000,-5,0.026059444508493734,83,83,empirical,gregstoll,0.1941747572815534,0.023479
1,1,000,-5,0.019905656383666318,58,58,empirical,gregstoll,0.2564102564102564,0.006271
1,2,000,-5,0.01506976121789034,41,41,empirical,gregstoll,0.32786885245901637,0.014553
1,0,000,-4,0.043428849494770896,101,101,empirical,gregstoll,0.1652892561983471,0.0
1,1,000,-4,0.025749061447743686,72,72,empirical,gregstoll,0.21739130434782608,-0.001857
1,2,000,-4,0.015569761217890343,44,44,empirical,gregstoll,0.3125,-0.002268
1,0,000,-3,0.061928983958373,115,115,empirical,gregstoll,0.14814814814814814,0.0
1,1,000,-3,0.02624906144774369,87,87,empirical,gregstoll,0.18691588785046728,0.002357
1,2,000,-3,0.01606976121789034,67,67,empirical,gregstoll,0.22988505747126436,0.013672
1,0,000,-2,0.07253427189194762,138,138,empirical,gregstoll,0.12658227848101267,0.0
1,1,000,-2,0.03299634787419577,92,92,empirical,gregstoll,0.17857142857142858,0.0
1,2,000,-2,0.01656976121789034,76,76,empirical,gregstoll,0.20833333333333334,0.003839
1,0,000,-1,0.23993571128639563,179,179,empirical,gregstoll,0.10050251256281408,0.0
1,1,000,-1,0.1559414430282306,132,132,empirical,gregstoll,0.13157894736842105,0.0
1,2,000,-1,0.08677335175543092,107,107,empirical,gregstoll,0.15748031496062992,0.0
1,0,000,0,0.60615270121452,235,235,empirical,gregstoll,0.0784313725490196,-0.058742
1,1,000,0,0.5817659051196507,164,164,empirical,gregstoll,0.10869565217391304,-0.034355
1,2,000,0,0.5208346325248029,136,136,empirical,gregstoll,0.1282051282051282,0.0
1,0,000,1,1.0,1,9,re_collapsed,logistic,0.6896551724137931,0.452589
1,1,000,1,1.0,2,9,re_collapsed,logistic,0.6896551724137931,0.452589
1,2,000,1,1.0,1,0,prior,logistic,1.0,0.406254
1,0,000,2,1.0,0,0,prior,logistic,1.0,0.180453
1,1,000,2,1.0,0,0,prior,logistic,1.0,0.180453
1,2,000,2,1.0,0,0,prior,logistic,1.0,0.180453
1,0,000,3,1.0,0,0,prior,logistic,1.0,0.091161
1,1,000,3,1.0,0,0,prior,logistic,1.0,0.091161
1,2,000,3,1.0,1,0,prior,logistic,1.0,0.091161
1,0,000,4,1.0,0,0,prior,logistic,1.0,0.05086
1,1,000,4,1.0,0,0,prior,logistic,1.0,0.05086
1,2,000,4,1.0,0,0,prior,logistic,1.0,0.05086
1,0,000,5,1.0,0,0,prior,logistic,1.0,0.026441
1,1,000,5,1.0,0,0,prior,logistic,1.0,0.026441
1,2,000,5,1.0,0,0,prior,logistic,1.0,0.026441
1,0,000,6,1.0,0,0,prior,logistic,1.0,0.014249
1,1,000,6,1.0,0,0,prior,logistic,1.0,0.014249
1,2,000,6,1.0,0,0,prior,logistic,1.0,0.014249
1,0,000,7,1.0,0,0,prior,logistic,1.0,0.007263
1,1,000,7,1.0,0,0,prior,logistic,1.0,0.007263
1,2,000,7,1.0,0,0,prior,logistic,1.0,0.007263
1,0,000,8,1.0,0,0,prior,logistic,1.0,0.00369
1,1,000,8,1.0,0,0,prior,logistic,1.0,0.00369
1,2,000,8,1.0,0,0,prior,logistic,1.0,0.00369
1,0,000,9,1.0,0,0,prior,logistic,1.0,0.001871
1,1,000,9,1.0,0,0,prior,logistic,1.0,0.001871
1,2,000,9,1.0,0,0,prior,logistic,1.0,0.001871
1,0,000,10,1.0,0,0,prior,logistic,1.0,0.001
1,1,000,10,1.0,0,0,prior,logistic,1.0,0.001
1,2,000,10,1.0,0,0,prior,logistic,1.0,0.001
1,0,001,-10,0.0015000000000000002,11,11,empirical,gregstoll,0.6451612903225806,0.000855
1,1,001,-10,0.0010000000000000002,11,11,empirical,gregstoll,0.6451612903225806,0.000355
1,2,001,-10,0.001,6,71,re_collapsed,gregstoll,0.21978021978021978,0.00078
1,0,001,-9,0.002,2,5,re_collapsed,gregstoll,0.8,0.0012
1,1,001,-9,0.0015,5,27,re_collapsed,gregstoll,0.425531914893617,0.001074
1,2,001,-9,0.001,3,27,re_collapsed,gregstoll,0.425531914893617,0.000574
1,0,001,-8,0.0025000000000000005,3,8,re_collapsed,gregstoll,0.7142857142857143,0.001598
1,1,001,-8,0.0020000000000000005,2,36,re_collapsed,gregstoll,0.35714285714285715,0.001549
1,2,001,-8,0.0015000000000000005,3,36,re_collapsed,gregstoll,0.35714285714285715,0.001049
1,0,001,-7,0.05448721410776605,15,15,empirical,gregstoll,0.5714285714285714,-0.074313
1,1,001,-7,0.0350912750703391,16,16,empirical,gregstoll,0.5555555555555556,-0.051795
1,2,001,-7,0.019982225441868978,10,10,empirical,gregstoll,0.6666666666666666,-0.007493
1,0,001,-6,0.05498721410776605,12,12,empirical,gregstoll,0.625,0.022646
1,1,001,-6,0.03574194194348422,13,13,empirical,gregstoll,0.6060606060606061,0.015517
1,2,001,-6,0.020711654994938405,15,15,empirical,gregstoll,0.5714285714285714,-0.011981
